Symbol,Name,MarketCap,Sector,Industry,Year,Date,Median_Quote,Median_Q_Growth,ROE,ROE_5Y,DEratio,DEratio_5Y,Profit_Margin,Profit_Margin_5Y,PEratio,Revenue_Growth
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2016,2016-12-31,127.809998,-0.03501289468762831,0.04589371980676329,0.09955192545054307,0.3782,0.1994,0.129,0.1732,71.80336966292134,0.1843
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2015,2015-12-31,132.429993,-0.34565439039175955,0.017435524881946968,0.12127952547398714,0.4324,0.12376,0.055,0.1922,194.74998970588234,0.1656
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2014,2014-12-31,178.20500149999998,0.0710137111387414,0.19896923638817232,0.14036446586966544,0.0498,0.03848,0.294,0.217,53.676205271084335,0.44
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2013,2013-12-31,165.38000499999998,0.37948968498338104,0.1061656645308573,0.18633031270379874,0.061,0.03168,0.163,0.3108,128.20155426356587,0.3679
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2012,2012-12-31,102.195,0.08708842409119823,0.1292954816449755,0.1919383666754132,0.0756,0.13626,0.225,0.3038,76.26492537313432,0.4476
ALXN,"Alexion Pharmaceuticals, Inc.",25861900389.44,Health Care,Major Pharmaceuticals,2011,2011-12-31,93.279999,0.4596644453223032,0.1545317199239836,-0.01567266947003785,0,0.50472,0.224,0.002600000000000019,97.16666562500001,0.4482
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2016,2016-12-31,148.619995,0.45138606686132643,0.19056067527368697,0.15130318190040126,0,0,0.176,0.1478,62.445376050420165,0.2772
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2015,2015-12-31,81.25,0.2679384676923076,0.16984972745263147,0.14037873341054719,0,0,0.17,0.1404,45.138888888888886,0.1101
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2014,2014-12-31,59.415001000000004,0.08911890786638212,0.19372691030871275,0.14572240258803942,0,0,0.191,0.1448,32.82596740331492,0.1537
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2013,2013-12-31,54.120001,0.29822618628554726,0.10141647081092166,0.08407234861490058,0,0,0.097,0.0866,67.65000125,0.1789
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2012,2012-12-31,37.795,0.2410371610001323,0.1009621256560534,0.13699029907612614,0,0,0.105,0.1198,51.77397260273973,0.1674
ALGN,"Align Technology, Inc.",18725502769.2,Health Care,Industrial Specialties,2011,2011-12-31,28.700001,0.255749172273548,0.1359384328244166,0.16113310608311868,0,0,0.139,0.124,33.37209418604651,0.2392
ALNY,"Alnylam Pharmaceuticals, Inc.",12454862279.08,Health Care,Major Pharmaceuticals,2016,2016-12-31,73.93,0.15250912349519824,-0.4456625093319974,-0.4361647871943201,0.163,0.032600000000000004,-8.696,-5.2726,-15.434237995824637,0.1475
